#{"t_start": 1733895562.8244302, "env_id": "metaworld/drawer-open-v2"}
r,l,t
803.896343,500,4.076472
539.78654,500,6.254515
390.822964,500,8.614109
460.56483,500,10.473691
386.862595,500,12.470926
668.002237,500,14.47954
434.982497,500,16.35956
882.505404,500,18.296268
1142.094376,500,20.345987
474.154187,500,22.275471
456.582987,500,24.088937
529.426794,500,25.916071
397.890701,500,27.913404
456.887784,500,29.818897
447.527294,500,31.637545
657.853802,500,33.595198
644.20364,500,35.501254
541.469446,500,37.470408
652.440276,500,39.480552
1060.551108,500,41.483364
