,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
25,25,444.14652340000004,2024-12-10 19:22:58.899102,2024-12-10 19:26:15.401038,0 days 00:03:16.501936,tanh,128,0.4,2.233174504069772e-07,0.92,0.995,0.0039057816253337883,2.0,20,512,small,0.41117463326923587,PRUNED
26,26,657.629517,2024-12-10 19:24:28.893574,2024-12-10 19:28:58.637644,0 days 00:04:29.744070,tanh,32,0.3,6.751851255562196e-08,0.92,0.995,0.0003882642141946929,2.0,10,32,tiny,0.1337758962159014,PRUNED
27,27,1100.3277150000001,2024-12-10 19:26:15.408316,2024-12-10 19:28:55.188178,0 days 00:02:39.779862,tanh,32,0.3,2.622271264292207e-08,0.92,0.995,0.0014053441731226733,0.6,1,256,tiny,0.5620740457485405,COMPLETE
28,28,716.066723,2024-12-10 19:28:55.190059,2024-12-10 19:32:04.535981,0 days 00:03:09.345922,tanh,32,0.3,3.361145354333276e-08,0.8,0.9,6.56274121331406e-05,2.0,5,512,tiny,0.24634544680185028,PRUNED
29,29,1569.6541432000001,2024-12-10 19:28:58.638313,2024-12-10 19:31:28.944943,0 days 00:02:30.306630,tanh,32,0.3,1.0261330518250011e-08,1.0,0.9,0.00044635346227446456,0.7,1,512,tiny,0.2589343368119067,COMPLETE
30,30,366.93893399999996,2024-12-10 19:31:28.945644,2024-12-10 19:35:23.304470,0 days 00:03:54.358826,tanh,32,0.2,1.9938134562210134e-08,1.0,0.995,0.0031893864066675167,1.0,10,512,small,0.21375211956301832,PRUNED
31,31,714.1599865999999,2024-12-10 19:32:04.536536,2024-12-10 19:34:26.028127,0 days 00:02:21.491591,tanh,512,0.3,1.3563151590213095e-07,0.98,0.99,0.00012332572169596666,0.5,1,256,tiny,0.6219284150849699,PRUNED
32,32,371.2296808,2024-12-10 19:34:26.028708,2024-12-10 19:40:49.047185,0 days 00:06:23.018477,relu,8,0.2,1.238528178575698e-05,0.92,0.995,0.00012759357534108484,2.0,10,16,small,0.5102903422123674,PRUNED
33,33,447.7026024,2024-12-10 19:35:23.305082,2024-12-10 19:37:36.758629,0 days 00:02:13.453547,tanh,128,0.1,2.439966127732587e-07,1.0,0.9999,2.1607821849358253e-05,0.5,20,256,tiny,0.45703554430843835,PRUNED
34,34,1537.5461004,2024-12-10 19:37:36.759190,2024-12-10 19:41:11.020233,0 days 00:03:34.261043,relu,32,0.1,1.8832491401346787e-07,0.92,0.95,3.543572672346502e-05,2.0,20,64,small,0.6647742471042144,COMPLETE
35,35,2371.3200964,2024-12-10 19:40:49.047769,2024-12-10 19:51:45.626619,0 days 00:10:56.578850,relu,8,0.2,6.8725586880558814e-06,0.92,0.95,3.9824287024030144e-05,5.0,20,2048,small,0.762785320835212,COMPLETE
36,36,1655.2225838000002,2024-12-10 19:41:11.021017,2024-12-10 19:44:36.050811,0 days 00:03:25.029794,relu,32,0.2,8.174035532910845e-05,0.92,0.95,3.5362246367817855e-05,5.0,20,2048,small,0.5117405917883094,COMPLETE
37,37,472.2718844,2024-12-10 19:44:36.051650,2024-12-10 19:46:36.463199,0 days 00:02:00.411549,tanh,32,0.2,2.746560039718009e-08,1.0,0.995,0.0018421879560601795,0.7,1,2048,medium,0.7510329300569527,PRUNED
38,38,664.0409578,2024-12-10 19:46:36.463779,2024-12-10 19:48:33.454551,0 days 00:01:56.990772,relu,16,0.4,1.4108305403967823e-07,0.92,0.995,7.079098376735458e-05,0.7,1,512,tiny,0.3826918930748522,PRUNED
