,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
25,25,-0.3025808,2024-12-10 13:38:51.819513,2024-12-10 13:47:20.476428,0 days 00:08:28.656915,tanh,512,0.4,0.004510938467034829,0.8,0.9,4.9557871069029854e-05,0.5,20,16,tiny,0.9642899526414149,COMPLETE
26,26,-7.867895999999999,2024-12-10 13:40:36.033435,2024-12-10 13:49:49.469272,0 days 00:09:13.435837,tanh,64,0.3,5.128150264643974e-06,0.8,0.98,3.2272806058915136e-05,0.8,10,8,small,0.4009321780145464,PRUNED
27,27,-3.5101294000000003,2024-12-10 13:47:20.477450,2024-12-10 13:50:53.413942,0 days 00:03:32.936492,tanh,64,0.4,2.202857239825423e-06,0.8,0.9999,3.263818673494736e-05,0.8,10,512,small,0.5365650877052532,COMPLETE
28,28,-5.590807799999999,2024-12-10 13:49:49.470073,2024-12-10 13:57:58.442406,0 days 00:08:08.972333,tanh,512,0.2,3.9338446427154895e-05,0.8,0.995,0.0002010476833360189,0.3,20,16,tiny,0.033468894220557655,PRUNED
29,29,-18.3226452,2024-12-10 13:50:53.415180,2024-12-10 13:56:15.532324,0 days 00:05:22.117144,tanh,512,0.4,0.005802014991759442,0.9,0.999,0.00019124481617078837,5.0,10,16,tiny,0.15618427871503499,PRUNED
30,30,-2.1704128000000003,2024-12-10 13:56:15.535846,2024-12-10 14:07:56.729706,0 days 00:11:41.193860,tanh,8,0.2,0.00016150080000706477,0.99,0.9,0.0006124798949831448,5.0,20,16,tiny,0.012057761669947265,COMPLETE
31,31,-9.103833600000002,2024-12-10 13:57:58.443236,2024-12-10 14:00:40.407157,0 days 00:02:41.963921,relu,512,0.3,0.0012574469907190966,0.8,0.9,3.9406459602594984e-05,0.9,5,1024,tiny,0.8785049862809402,PRUNED
32,32,-14.228195600000003,2024-12-10 14:00:40.408108,2024-12-10 14:03:22.577157,0 days 00:02:42.169049,tanh,32,0.2,3.8731264238411845e-08,0.99,0.9999,3.687086399578164e-05,0.9,10,32,small,0.3878055365048443,PRUNED
33,33,-0.3425828,2024-12-10 14:03:22.578957,2024-12-10 14:05:51.566828,0 days 00:02:28.987871,tanh,32,0.4,1.3657192026077411e-08,0.99,0.98,9.413908249870195e-05,1.0,10,2048,small,0.5365086032271558,COMPLETE
34,34,-21.504944599999998,2024-12-10 14:05:51.567793,2024-12-10 14:15:32.768290,0 days 00:09:41.200497,tanh,8,0.4,0.00022034833192804225,0.99,0.9,0.001765627262049736,5.0,20,16,medium,0.33481021618983753,PRUNED
35,35,-0.1565946,2024-12-10 14:07:56.730672,2024-12-10 14:09:56.694171,0 days 00:01:59.963499,tanh,512,0.4,0.014585396259175935,0.8,0.995,7.635481299111554e-05,5.0,20,128,tiny,0.2731143157151116,COMPLETE
36,36,-7.9331315999999985,2024-12-10 14:09:56.695156,2024-12-10 14:11:57.776551,0 days 00:02:01.081395,tanh,512,0.4,0.03257695651602435,0.99,0.995,3.0898207533865074e-05,5.0,20,128,tiny,0.41474431912118065,PRUNED
37,37,-17.619662799999997,2024-12-10 14:11:57.777296,2024-12-10 14:17:15.228409,0 days 00:05:17.451113,tanh,512,0.4,0.036652480833061406,0.8,0.9999,5.9212937134733016e-05,0.9,10,8,tiny,0.4860264337053807,PRUNED
38,38,-0.24463759999999998,2024-12-10 14:15:32.769014,2024-12-10 14:17:09.152300,0 days 00:01:36.383286,tanh,512,0.2,0.0012834045967545272,0.8,0.9,0.00011903933989849658,5.0,1,128,medium,0.319586011409519,COMPLETE
39,39,-0.12396739999999999,2024-12-10 14:17:09.153296,2024-12-10 14:19:27.165058,0 days 00:02:18.011762,relu,512,0.4,2.6544076057672583e-05,0.8,0.95,0.0003640368521789148,5.0,20,2048,tiny,0.45710016726267033,COMPLETE
40,40,-6.845355,2024-12-10 14:17:15.229239,2024-12-10 14:19:37.234304,0 days 00:02:22.005065,tanh,32,0.4,0.00019335457266570071,0.8,0.9,3.1256131425032864e-05,0.9,1,1024,small,0.7038528772623159,PRUNED
41,41,-0.296291,2024-12-10 14:19:27.166008,2024-12-10 14:21:21.290821,0 days 00:01:54.124813,relu,512,0.4,3.70237151313629e-05,0.8,0.95,0.0003684648295214862,5.0,20,256,medium,0.439539195500303,COMPLETE
42,42,-47.0145294,2024-12-10 14:19:37.235021,2024-12-10 14:24:55.382198,0 days 00:05:18.147177,relu,512,0.4,0.0002660936001467771,0.8,0.999,0.015424748631808819,5.0,20,16,tiny,0.4131863528304692,PRUNED
